"Период","Регистратор","Номер строки","Владелец","Штрих код","Маршрут","Филиал получатель","Дата прибытия филиал","Отвязан","Перемаркировка","Статус","Ведомость сканирования","Отделение","Города","Виды документа ведомость сканирования","Вес","Длина","Ширина","Высота","Пользователь последним редактировал","Дата записи"
"*","Экспресс-накладная $НомерЭН$ от *","1","Экспресс-накладная $НомерЭН$ от *","$ШтрихКодЭН$","","","","Нет","Нет","У отправителя","","*","*","","1,00","","","","*","*"
"*","Маркировка ЭН * от *","1","Экспресс-накладная $НомерЭН$ от *","$ШтрихКодЭН$","","","","Нет","Нет","Груз промаркирован","","Москва Терминал Химки","Москва","","","","","","*","*"
"*","Маркировка ЭН * от *","2","Экспресс-накладная $НомерЭН$ от *","$ШтрихКодЭН$","","","","Нет","Нет","На терминале-отправителе","","Москва Терминал Химки","Москва","","","","","","*","*"
"*","Багажная ведомость * от *","1","Экспресс-накладная $НомерЭН$ от *","$ШтрихКодЭН$","","","","Нет","Нет","В пути на терминал","Багажная ведомость * от *","Москва Терминал Химки","Москва","","","","","","*","*"
"*","Приемка * от *","1","Экспресс-накладная $НомерЭН$ от *","$ШтрихКодЭН$","","","","Нет","Нет","На транзитном терминале","","Новосибирск Терминал","Новосибирск","","","","","","*","*"
"*","Багажная ведомость * от *","1","Экспресс-накладная $НомерЭН$ от *","$ШтрихКодЭН$","","","","Нет","Нет","В пути на терминал","Багажная ведомость * от *","Новосибирск Терминал","Новосибирск","","","","","","*","*"
"*","Приемка * от *","1","Экспресс-накладная $НомерЭН$ от *","$ШтрихКодЭН$","","","","Нет","Нет","На терминале-получателе (палета)","","Томск Терминал","Томск","","","","","","*","*"
"*","Приемка * от *","1","Экспресс-накладная $НомерЭН$ от *","$ШтрихКодЭН$","","","","Нет","Нет","На терминале-получателе","","Томск Терминал","Томск","","","","","","*","*"
"*","Маршрутный лист $НомерМЛ$ от *","1","Экспресс-накладная $НомерЭН$ от *","$ШтрихКодЭН$","","","","Нет","Нет","В пути с терминала в отделение","","Томск Терминал","Томск","","","","","","*","*"
"*","Ведомость сканирования * от *","1","Экспресс-накладная $НомерЭН$ от *","$ШтрихКодЭН$","","","","Нет","Нет","На отделении-получателе","Ведомость сканирования * от *","Томск Ленина_7063_С","Томск","Город выгрузка","","","","","*","*"
"*","Закрытие экспресс-накладной * от *","1","Экспресс-накладная $НомерЭН$ от *","$ШтрихКодЭН$","","","","Нет","Нет","У получателя","Закрытие экспресс-накладной * от *","Томск Ленина_7063_С","Томск","","","","","","*","*"
