"Период","Статус","Отправлен"," ","Дата отправки","Ошибка отправки","Контрагент-отправитель","Контрагент-получатель","Последним редактировал","Отделение редактирования","Регистратор","Документ перевозки","Автор","Подразделение пользователя"
"*","На отделении-отправителе","Нет","","","","ИП Пивоваров Дмитрий Вадимович","ВсеМайки","","Екатеринбург Грибоедова_6638_С","Экспресс-накладная $НомерВЭН$ от *","","*","Москва Дружбы_9976_С"
"*","Груз промаркирован","Нет","","","","ИП Пивоваров Дмитрий Вадимович","ВсеМайки","","Екатеринбург Грибоедова_6638_С","Маркировка ЭН * от *","","*","Москва Дружбы_9976_С"
"*","На отделении-отправителе","Нет","","","","ИП Пивоваров Дмитрий Вадимович","ВсеМайки","","Екатеринбург Грибоедова_6638_С","Маркировка ЭН * от *","","*","Москва Дружбы_9976_С"
"*","В пути из отделения на терминал","Нет","","","","ИП Пивоваров Дмитрий Вадимович","ВсеМайки","","Екатеринбург Грибоедова_6638_С","Маршрутный лист $НомерМЛ2$ от *","","*","Москва Дружбы_9976_С"
"*","На терминале-отправителе","Нет","","","","ИП Пивоваров Дмитрий Вадимович","ВсеМайки","","Екатеринбург терминал","Приемка * от *","","*","Москва Дружбы_9976_С"
"*","В пути на терминал","Нет","","","","ИП Пивоваров Дмитрий Вадимович","ВсеМайки","","Екатеринбург терминал","Багажная ведомость * от *","Багажная ведомость * от *","*","Москва Дружбы_9976_С"
"*","На терминале-получателе","Нет","","","","ИП Пивоваров Дмитрий Вадимович","ВсеМайки","","Москва Терминал Химки","Приемка * от *","","*","Москва Дружбы_9976_С"
"*","В пути с терминала в отделение","Нет","","","","ИП Пивоваров Дмитрий Вадимович","ВсеМайки","","Москва Терминал Химки","Маршрутный лист $НомерМЛ3$ от *","","*","Москва Дружбы_9976_С"
"*","На отделении-получателе","Нет","","","","ИП Пивоваров Дмитрий Вадимович","ВсеМайки","","Москва Дружбы_9976_С","Ведомость сканирования * от *","","*","Москва Дружбы_9976_С"
"*","У получателя","Нет","","","","ИП Пивоваров Дмитрий Вадимович","ВсеМайки","","Москва Дружбы_9976_С","Закрытие экспресс-накладной * от *","","*","Москва Дружбы_9976_С"
