"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","TST-424(CreateOrderLaDirect)_2032(LoadMeasureResultList)_2033(Consolidate)_2405(Despatch) ""EME""","TST-424(CreateOrderLaDirect)_2032(LoadMeasureResultList)_2033(Consolidate)_2405(Despatch) ""EME""","1","0","0","0","0"
"","TST-CreateIssuance ""Полная выдача""","TST-CreateIssuance ""Полная выдача""","0","0","1","0","0"
"","TST-390 ""Многоместная ЭН по простому маршруту""","TST-390 ""Многоместная ЭН по простому маршруту""","1","0","0","0","0"
"","TST-CreateIssuance ""Полный отказ""","TST-CreateIssuance ""Полный отказ""","0","0","1","0","0"
"","TST-393 ""ЭН с курьерской доставкой""","TST-393 ""ЭН с курьерской доставкой""","0","0","1","0","0"
"","TST-430 ""Выгрузка из 1С в EME посылок""","TST-430 ""Выгрузка из 1С в EME посылок""","0","0","1","0","0"
"","TST-394 ""ЭН с паллетированием и сложным маршрутом""","TST-394 ""ЭН с паллетированием и сложным маршрутом""","1","0","0","0","0"
"","TST-CreateIssuance ""Истечение срока хранения""","TST-CreateIssuance ""Истечение срока хранения""","0","0","1","0","0"
"","TST-395 ""Смена отделения-получателя""","TST-395 ""Смена отделения-получателя""","0","0","1","0","0"
"","TST_1479_1537_""Создание и прогон возвратной ЭН после отказа клиента""","TST_1479_1537_""Создание и прогон возвратной ЭН после отказа клиента""","1","0","0","0","0"
"","TST-CreateIssuance ""Частичная выдача""","TST-CreateIssuance ""Частичная выдача""","0","0","1","0","0"
"","TST-564 ""Создание документа ""Закрытие ЭН"" после разбора сообщения RMQ со статусом 50 (TST-1382, TST-552, TST-554)""","TST-564 ""Создание документа ""Закрытие ЭН"" после разбора сообщения RMQ со статусом 50 (TST-1382, TST-552, TST-554)""","1","0","0","0","0"
